location,source,target
0x43d03c@mhfdat-jp.bin,レアルHCブーツ・青,Real FZ Boots・Blue
0x43d040@mhfdat-jp.bin,レアルHSブーツ・青,Real HC Boots・Blue
0x43d044@mhfdat-jp.bin,レアルGSブーツ・青,Real HS Boots・Blue
0x43d048@mhfdat-jp.bin,レアルFZフット・赤,Real GS Boots・Blue
0x43d04c@mhfdat-jp.bin,レアルHCフット・赤,Real FZ Feet・Red
0x43d050@mhfdat-jp.bin,レアルHSフット・赤,Real HC Feet・Red
0x43d054@mhfdat-jp.bin,レアルGSフット・赤,Real HS Feet・Red
0x43d058@mhfdat-jp.bin,レアルFZブーツ・赤,Real GS Feet・Red
0x43d05c@mhfdat-jp.bin,レアルHCブーツ・赤,Real FZ Boots・Red
0x43d060@mhfdat-jp.bin,レアルHSブーツ・赤,Real HC Boots・Red
0x43d064@mhfdat-jp.bin,レアルGSブーツ・赤,Real HS Boots・Red
0x43d068@mhfdat-jp.bin,リアンFZフット・赤,Real GS Boots・Red
0x43d06c@mhfdat-jp.bin,リアンHCフット・赤,Lien FZ Feet・Red
0x43d070@mhfdat-jp.bin,リアンHSフット・赤,Lien HC Feet・Red
0x43d074@mhfdat-jp.bin,リアンGSフット・赤,Lien HS Feet・Red
0x43d078@mhfdat-jp.bin,リアンFZブーツ・赤,Lien GS Feet・Red
0x43d07c@mhfdat-jp.bin,リアンHCブーツ・赤,Lien FZ Boots・Red
0x43d080@mhfdat-jp.bin,リアンHSブーツ・赤,Lien HC Boots・Red
0x43d084@mhfdat-jp.bin,リアンGSブーツ・赤,Lien HS Boots・Red
0x43d088@mhfdat-jp.bin,リアンFZフット・黒,Lien GS Boots・Red
0x43d08c@mhfdat-jp.bin,リアンHCフット・黒,Lien FZ Feet・Black
0x43d090@mhfdat-jp.bin,リアンHSフット・黒,Lien HC Feet・Black
0x43d094@mhfdat-jp.bin,リアンGSフット・黒,Lien HS Feet・Black
0x43d098@mhfdat-jp.bin,リアンFZブーツ・黒,Lien GS Feet・Black
0x43d09c@mhfdat-jp.bin,リアンHCブーツ・黒,Lien FZ Boots・Black
0x43d0a0@mhfdat-jp.bin,リアンHSブーツ・黒,Lien HC Boots・Black
0x43d0a4@mhfdat-jp.bin,リアンGSブーツ・黒,Lien HS Boots・Black
0x43d0a8@mhfdat-jp.bin,リアンFZフット・白,Lien GS Boots・Black
0x43d0ac@mhfdat-jp.bin,リアンHCフット・白,Lien FZ Feet・White
0x43d0b0@mhfdat-jp.bin,リアンHSフット・白,Lien HC Feet・White
0x43d0b4@mhfdat-jp.bin,リアンGSフット・白,Lien HS Feet・White
0x43d0b8@mhfdat-jp.bin,リアンFZブーツ・白,Lien GS Feet・White
0x43d0bc@mhfdat-jp.bin,リアンHCブーツ・白,Lien FZ Boots・White
0x43d0c0@mhfdat-jp.bin,リアンHSブーツ・白,Lien HC Boots・White
0x43d0c4@mhfdat-jp.bin,リアンGSブーツ・白,Lien HS Boots・White
0x43d0c8@mhfdat-jp.bin,メレティFZフット・赤,Lien GS Boots・White
0x43d0cc@mhfdat-jp.bin,メレティHCフット・赤,Melety FZ Feet・Red
0x43d0d0@mhfdat-jp.bin,メレティHSフット・赤,Melety HC Feet・Red
0x43d0d4@mhfdat-jp.bin,メレティGSフット・赤,Melety HS Feet・Red
0x43d0d8@mhfdat-jp.bin,メレティFZフット・青,Melety GS Feet・Red
0x43d0dc@mhfdat-jp.bin,メレティHCフット・青,Melety FZ Feet・Blue
0x43d0e0@mhfdat-jp.bin,メレティHSフット・青,Melety HC Feet・Blue
0x43d0e4@mhfdat-jp.bin,メレティGSフット・青,Melety HS Feet・Blue
0x43d0e8@mhfdat-jp.bin,メレティFZフット・黒,Melety GS Feet・Blue
0x43d0ec@mhfdat-jp.bin,メレティHCフット・黒,Melety FZ Feet・Black
0x43d0f0@mhfdat-jp.bin,メレティHSフット・黒,Melety HC Feet・Black
0x43d0f4@mhfdat-jp.bin,メレティGSフット・黒,Melety HS Feet・Black
0x43d0f8@mhfdat-jp.bin,メレティFZブーツ・白,Melety GS Feet・Black
0x43d0fc@mhfdat-jp.bin,メレティHCブーツ・白,Melety FZ Boots・White
0x43d100@mhfdat-jp.bin,メレティHSブーツ・白,Melety HC Boots・White
0x43d104@mhfdat-jp.bin,メレティGSブーツ・白,Melety HS Boots・White
0x43d108@mhfdat-jp.bin,メレティFZブーツ・赤,Melety GS Boots・White
0x43d10c@mhfdat-jp.bin,メレティHCブーツ・赤,Melety FZ Boots・Red
0x43d110@mhfdat-jp.bin,メレティHSブーツ・赤,Melety HC Boots・Red
0x43d114@mhfdat-jp.bin,メレティGSブーツ・赤,Melety HS Boots・Red
0x43d118@mhfdat-jp.bin,メレティFZブーツ・黒,Melety GS Boots・Red
0x43d11c@mhfdat-jp.bin,メレティHCブーツ・黒,Melety FZ Boots・Black
0x43d120@mhfdat-jp.bin,メレティHSブーツ・黒,Melety HC Boots・Black
0x43d124@mhfdat-jp.bin,メレティGSブーツ・黒,Melety HS Boots・Black
0x43d128@mhfdat-jp.bin,リゲリアFZフット・赤,Melety GS Boots・Black
0x43d12c@mhfdat-jp.bin,リゲリアHCフット・赤,Regelia FZ Feet・Red
0x43d130@mhfdat-jp.bin,リゲリアHSフット・赤,Regelia HC Feet・Red
0x43d134@mhfdat-jp.bin,リゲリアGSフット・赤,Regelia HS Feet・Red
0x43d138@mhfdat-jp.bin,リゲリアFZフット・緑,Regelia GS Feet・Red
0x43d13c@mhfdat-jp.bin,リゲリアHCフット・緑,Regelia FZ Feet・Green
0x43d140@mhfdat-jp.bin,リゲリアHSフット・緑,Regelia HC Feet・Green
0x43d144@mhfdat-jp.bin,リゲリアGSフット・緑,Regelia HS Feet・Green
0x43d148@mhfdat-jp.bin,リゲリアFZフット・青,Regelia GS Feet・Green
0x43d14c@mhfdat-jp.bin,リゲリアHCフット・青,Regelia FZ Feet・Blue
0x43d150@mhfdat-jp.bin,リゲリアHSフット・青,Regelia HC Feet・Blue
0x43d154@mhfdat-jp.bin,リゲリアGSフット・青,Regelia HS Feet・Blue
0x43d158@mhfdat-jp.bin,リゲリアFZブーツ・白,Regelia GS Feet・Blue
0x43d15c@mhfdat-jp.bin,リゲリアHCブーツ・白,Regelia FZ Boots・White
0x43d160@mhfdat-jp.bin,リゲリアHSブーツ・白,Regelia HC Boots・White
0x43d164@mhfdat-jp.bin,リゲリアGSブーツ・白,Regelia HS Boots・White
0x43d168@mhfdat-jp.bin,リゲリアFZブーツ・赤,Regelia GS Boots・White
0x43d16c@mhfdat-jp.bin,リゲリアHCブーツ・赤,Regelia FZ Boots・Red
0x43d170@mhfdat-jp.bin,リゲリアHSブーツ・赤,Regelia HC Boots・Red
0x43d174@mhfdat-jp.bin,リゲリアGSブーツ・赤,Regelia HS Boots・Red
0x43d178@mhfdat-jp.bin,リゲリアFZブーツ・緑,Regelia GS Boots・Red
0x43d17c@mhfdat-jp.bin,リゲリアHCブーツ・緑,Regelia FZ Boots・Green
0x43d180@mhfdat-jp.bin,リゲリアHSブーツ・緑,Regelia HC Boots・Green
0x43d184@mhfdat-jp.bin,リゲリアGSブーツ・緑,Regelia HS Boots・Green
0x43d188@mhfdat-jp.bin,スリートHSフット・銀,Regelia GS Boots・Green
0x43d18c@mhfdat-jp.bin,スリートGSフット・銀,Suriito HS Feet・Silver
0x43d190@mhfdat-jp.bin,スリートHSブーツ・銀,Suriito GS Feet・Silver
0x43d194@mhfdat-jp.bin,スリートGSブーツ・銀,Suriito HS Boots・Silver
0x43d198@mhfdat-jp.bin,スリートHSフット・赤,Suriito GS Boots・Silver
0x43d19c@mhfdat-jp.bin,スリートGSフット・赤,Suriito HS Feet・Red
0x43d1a0@mhfdat-jp.bin,スリートHSブーツ・赤,Suriito GS Feet・Red
0x43d1a4@mhfdat-jp.bin,スリートGSブーツ・赤,Suriito HS Boots・Red
0x43d1a8@mhfdat-jp.bin,スリートHSフット・青,Suriito GS Boots・Red
0x43d1ac@mhfdat-jp.bin,スリートGSフット・青,Suriito HS Feet・Blue
0x43d1b0@mhfdat-jp.bin,スリートHSブーツ・青,Suriito GS Feet・Blue
0x43d1b4@mhfdat-jp.bin,スリートGSブーツ・青,Suriito HS Boots・Blue
0x43d1b8@mhfdat-jp.bin,ステノHSグリーヴ・桃,Suriito GS Boots・Blue
0x43d1bc@mhfdat-jp.bin,ステノGSグリーヴ・桃,Steno HS Greaves・Peach
0x43d1c0@mhfdat-jp.bin,ステノHSレギンス・桃,Steno GS Greaves・Peach
0x43d1c4@mhfdat-jp.bin,ステノGSレギンス・桃,Steno HS Leggings・Peach
0x43d1c8@mhfdat-jp.bin,ステノHSグリーヴ・青,Steno GS Leggings・Peach
0x43d1cc@mhfdat-jp.bin,ステノGSグリーヴ・青,Steno HS Greaves・Blue
0x43d1d0@mhfdat-jp.bin,ステノHSレギンス・青,Steno GS Greaves・Blue
0x43d1d4@mhfdat-jp.bin,ステノGSレギンス・青,Steno HS Leggings・Blue
0x43d1d8@mhfdat-jp.bin,ステノHSグリーヴ・赤,Steno GS Leggings・Blue
0x43d1dc@mhfdat-jp.bin,ステノGSグリーヴ・赤,Steno HS Greaves・Red
0x43d1e0@mhfdat-jp.bin,ステノHSレギンス・赤,Steno GS Greaves・Red
0x43d1e4@mhfdat-jp.bin,ステノGSレギンス・赤,Steno HS Leggings・Red
0x43d1e8@mhfdat-jp.bin,エディオHCフット・赤,Steno GS Leggings・Red
0x43d1ec@mhfdat-jp.bin,エディオHSフット・赤,Edio HC Feet・Red
0x43d1f0@mhfdat-jp.bin,エディオGSフット・赤,Edio HS Feet・Red
0x43d1f4@mhfdat-jp.bin,エディオHCブーツ・赤,Edio GS Feet・Red
0x43d1f8@mhfdat-jp.bin,エディオHSブーツ・赤,Edio HC Boots・Red
0x43d1fc@mhfdat-jp.bin,エディオGSブーツ・赤,Edio HS Boots・Red
0x43d200@mhfdat-jp.bin,エディオHCフット・黄,Edio GS Boots・Red
0x43d204@mhfdat-jp.bin,エディオHSフット・黄,Edio HC Feet・Yellow
0x43d208@mhfdat-jp.bin,エディオGSフット・黄,Edio HS Feet・Yellow
0x43d20c@mhfdat-jp.bin,エディオHCブーツ・黄,Edio GS Feet・Yellow
0x43d210@mhfdat-jp.bin,エディオHSブーツ・黄,Edio HC Boots・Yellow
0x43d214@mhfdat-jp.bin,エディオGSブーツ・黄,Edio HS Boots・Yellow
0x43d218@mhfdat-jp.bin,エディオHCフット・黒,Edio GS Boots・Yellow
0x43d21c@mhfdat-jp.bin,エディオHSフット・黒,Edio HC Feet・Black
0x43d220@mhfdat-jp.bin,エディオGSフット・黒,Edio HS Feet・Black
0x43d224@mhfdat-jp.bin,エディオHCブーツ・黒,Edio GS Feet・Black
0x43d228@mhfdat-jp.bin,エディオHSブーツ・黒,Edio HC Boots・Black
0x43d22c@mhfdat-jp.bin,エディオGSブーツ・黒,Edio HS Boots・Black
0x43d230@mhfdat-jp.bin,ガリトスHCフット・赤,Edio GS Boots・Black
0x43d234@mhfdat-jp.bin,ガリトスHSフット・赤,Galitos HC Feet・Red
0x43d238@mhfdat-jp.bin,ガリトスGSフット・赤,Galitos HS Feet・Red
0x43d23c@mhfdat-jp.bin,ガリトスHCブーツ・赤,Galitos GS Feet・Red
0x43d240@mhfdat-jp.bin,ガリトスHSブーツ・赤,Galitos HC Boots・Red
0x43d244@mhfdat-jp.bin,ガリトスGSブーツ・赤,Galitos HS Boots・Red
0x43d248@mhfdat-jp.bin,ガリトスHCフット・黒,Galitos GS Boots・Red
0x43d24c@mhfdat-jp.bin,ガリトスHSフット・黒,Galitos HC Feet・Black
0x43d250@mhfdat-jp.bin,ガリトスGSフット・黒,Galitos HS Feet・Black
0x43d254@mhfdat-jp.bin,ガリトスHCブーツ・黒,Galitos GS Feet・Black
0x43d258@mhfdat-jp.bin,ガリトスHSブーツ・黒,Galitos HC Boots・Black
0x43d25c@mhfdat-jp.bin,ガリトスGSブーツ・黒,Galitos HS Boots・Black
0x43d260@mhfdat-jp.bin,ガリトスHCフット・水,Galitos GS Boots・Black
0x43d264@mhfdat-jp.bin,ガリトスHSフット・水,Galitos HC Feet・Water
0x43d268@mhfdat-jp.bin,ガリトスGSフット・水,Galitos HS Feet・Water
0x43d26c@mhfdat-jp.bin,ガリトスHCブーツ・水,Galitos GS Feet・Water
0x43d270@mhfdat-jp.bin,ガリトスHSブーツ・水,Galitos HC Boots・Water
0x43d274@mhfdat-jp.bin,ガリトスGSブーツ・水,Galitos HS Boots・Water
0x43d278@mhfdat-jp.bin,星祭FZ足袋【青】,Galitos GS Boots・Water
0x43d27c@mhfdat-jp.bin,星祭HC足袋【青】,Star Festival FZ Tabi [Blue 】
0x43d280@mhfdat-jp.bin,星祭HS足袋【青】,Star Festival HC Tabi [Blue 】
0x43d284@mhfdat-jp.bin,星祭GS足袋【青】,Star Festival HS Tabi [Blue 】
0x43d288@mhfdat-jp.bin,七夕FZ足袋【青】,Star Festival GS Tabi [Blue 】
0x43d28c@mhfdat-jp.bin,七夕HC足袋【青】,Tanabata FZ Tabi [Blue 】
0x43d290@mhfdat-jp.bin,七夕HS足袋【青】,Tanabata HC Tabi [Blue 】
0x43d294@mhfdat-jp.bin,七夕GS足袋【青】,Tanabata HS Tabi [Blue 】
0x43d298@mhfdat-jp.bin,星祭FZ足袋【黒】,Tanabata GS Tabi [Blue 】
0x43d29c@mhfdat-jp.bin,星祭HC足袋【黒】,Star Festival FZ Tabi [Black 】
0x43d2a0@mhfdat-jp.bin,星祭HS足袋【黒】,Star Festival HC Tabi [Black 】
0x43d2a4@mhfdat-jp.bin,星祭GS足袋【黒】,Star Festival HS Tabi [Black 】
0x43d2a8@mhfdat-jp.bin,七夕FZ足袋【黒】,Star Festival GS Tabi [Black 】
0x43d2ac@mhfdat-jp.bin,七夕HC足袋【黒】,Tanabata FZ Tabi [Black 】
0x43d2b0@mhfdat-jp.bin,七夕HS足袋【黒】,Tanabata HC Tabi [Black 】
0x43d2b4@mhfdat-jp.bin,七夕GS足袋【黒】,Tanabata HS Tabi [Black 】
0x43d2b8@mhfdat-jp.bin,星祭FZ足袋【白】,Tanabata GS Tabi [Black 】
0x43d2bc@mhfdat-jp.bin,星祭HC足袋【白】,Star Festival FZ Tabi [White 】
0x43d2c0@mhfdat-jp.bin,星祭HS足袋【白】,Star Festival HC Tabi [White 】
0x43d2c4@mhfdat-jp.bin,星祭GS足袋【白】,Star Festival HS Tabi [White 】
0x43d2c8@mhfdat-jp.bin,七夕FZ足袋【白】,Star Festival GS Tabi [White 】
0x43d2cc@mhfdat-jp.bin,七夕HC足袋【白】,Tanabata FZ Tabi [White 】
0x43d2d0@mhfdat-jp.bin,七夕HS足袋【白】,Tanabata HC Tabi [White 】
0x43d2d4@mhfdat-jp.bin,七夕GS足袋【白】,Tanabata HS Tabi [White 】
0x43d2d8@mhfdat-jp.bin,ダミー,Tanabata GS Tabi [White 】
0x43d2dc@mhfdat-jp.bin,ダミー,ダミー
0x43d2e0@mhfdat-jp.bin,ダミー,ダミー
0x43d2e4@mhfdat-jp.bin,ダミー,ダミー
0x43d2e8@mhfdat-jp.bin,ダミー,ダミー
0x43d2ec@mhfdat-jp.bin,ダミー,ダミー
0x43d2f0@mhfdat-jp.bin,ダミー,ダミー
0x43d2f4@mhfdat-jp.bin,ダミー,ダミー
0x43d2f8@mhfdat-jp.bin,ダミー,ダミー
0x43d2fc@mhfdat-jp.bin,ダミー,ダミー
0x43d300@mhfdat-jp.bin,ダミー,ダミー
0x43d304@mhfdat-jp.bin,ダミー,ダミー
0x43d308@mhfdat-jp.bin,ヴェルフHSグリーヴ,ダミー
0x43d30c@mhfdat-jp.bin,ヴェルフGSグリーヴ,ヴェルフHS Greaves
0x43d310@mhfdat-jp.bin,ヴェルフHSレギンス,ヴェルフGS Greaves
0x43d314@mhfdat-jp.bin,ヴェルフGSレギンス,ヴェルフHS Leggings
0x43d318@mhfdat-jp.bin,テリオグHSグリーヴ,ヴェルフGS Leggings
0x43d31c@mhfdat-jp.bin,テリオグGSグリーヴ,テリオグHS Greaves
0x43d320@mhfdat-jp.bin,テリオグHSレギンス,テリオグGS Greaves
0x43d324@mhfdat-jp.bin,テリオグGSレギンス,テリオグHS Leggings
0x43d328@mhfdat-jp.bin,ベイルHSディバイダー,テリオグGS Leggings
0x43d32c@mhfdat-jp.bin,ベイルGSディバイダー,Beil HS Divider
0x43d330@mhfdat-jp.bin,ランポスＧグリーヴ,Beil GS Divider
0x43d334@mhfdat-jp.bin,ランポスGFグリーヴ,Veloci G Greaves
0x43d338@mhfdat-jp.bin,ランポスGXグリーヴ,Veloci GF Greaves
0x43d33c@mhfdat-jp.bin,ランポスＧレギンス,Veloci GX Greaves
0x43d340@mhfdat-jp.bin,ランポスGFレギンス,Veloci G Leggings
0x43d344@mhfdat-jp.bin,ランポスGXレギンス,Veloci GF Leggings
0x43d348@mhfdat-jp.bin,イーオスＧグリーヴ,Veloci GX Leggings
0x43d34c@mhfdat-jp.bin,イーオスGFグリーヴ,Io G Greaves
0x43d350@mhfdat-jp.bin,イーオスGXグリーヴ,Io GF Greaves
0x43d354@mhfdat-jp.bin,イーオスＧレギンス,Io GX Greaves
0x43d358@mhfdat-jp.bin,イーオスGFレギンス,Io G Leggings
0x43d35c@mhfdat-jp.bin,イーオスGXレギンス,Io GF Leggings
0x43d360@mhfdat-jp.bin,ゲネポスＧグリーヴ,Io GX Leggings
0x43d364@mhfdat-jp.bin,ゲネポスGFグリーヴ,Gen G Greaves
0x43d368@mhfdat-jp.bin,ゲネポスGXグリーヴ,Gen GF Greaves
0x43d36c@mhfdat-jp.bin,ゲネポスＧレギンス,Gen GX Greaves
0x43d370@mhfdat-jp.bin,ゲネポスGFレギンス,Gen G Leggings
0x43d374@mhfdat-jp.bin,ゲネポスGXレギンス,Gen GF Leggings
0x43d378@mhfdat-jp.bin,ガレオスＧグリーヴ,Gen GX Leggings
0x43d37c@mhfdat-jp.bin,ガレオスGFグリーヴ,Cepha G Greaves
0x43d380@mhfdat-jp.bin,ガレオスGXグリーヴ,Cepha GF Greaves
0x43d384@mhfdat-jp.bin,ガレオスＧレギンス,Cepha GX Greaves
0x43d388@mhfdat-jp.bin,ガレオスGFレギンス,Cepha G Leggings
0x43d38c@mhfdat-jp.bin,ガレオスGXレギンス,Cepha GF Leggings
0x43d390@mhfdat-jp.bin,ディアブロＧグリーヴ,Cepha GX Leggings
0x43d394@mhfdat-jp.bin,ディアブロGFグリーヴ,Diablos G Greaves
0x43d398@mhfdat-jp.bin,ディアブロGXグリーヴ,Diablos GF Greaves
0x43d39c@mhfdat-jp.bin,ディアブロＧレギンス,Diablos GX Greaves
0x43d3a0@mhfdat-jp.bin,ディアブロGFレギンス,Diablos G Leggings
0x43d3a4@mhfdat-jp.bin,ディアブロGXレギンス,Diablos GF Leggings
0x43d3a8@mhfdat-jp.bin,ガノスＧグリーヴ,Diablos GX Leggings
0x43d3ac@mhfdat-jp.bin,ガノスGFグリーヴ,Plesioth G Greaves
0x43d3b0@mhfdat-jp.bin,ガノスGXグリーヴ,Plesioth GF Greaves
0x43d3b4@mhfdat-jp.bin,ガノスＧレギンス,Plesioth GX Greaves
0x43d3b8@mhfdat-jp.bin,ガノスGFレギンス,Plesioth G Leggings
0x43d3bc@mhfdat-jp.bin,ガノスGXレギンス,Plesioth GF Leggings
0x43d3c0@mhfdat-jp.bin,ベルＧグリーヴ,Plesioth GX Leggings
0x43d3c4@mhfdat-jp.bin,ベルGFグリーヴ,Beru G Greaves
0x43d3c8@mhfdat-jp.bin,ベルGXグリーヴ,Beru GF Greaves
0x43d3cc@mhfdat-jp.bin,ベルＧレギンス,Beru GX Greaves
0x43d3d0@mhfdat-jp.bin,ベルGFレギンス,Beru G Leggings
0x43d3d4@mhfdat-jp.bin,ベルGXレギンス,Beru GF Leggings
0x43d3d8@mhfdat-jp.bin,グラビデＧグリーヴ,Beru GX Leggings
0x43d3dc@mhfdat-jp.bin,グラビデGFグリーヴ,Black Gravios G Greaves
0x43d3e0@mhfdat-jp.bin,グラビデGXグリーヴ,Black Gravios GF Greaves
0x43d3e4@mhfdat-jp.bin,グラビデＧレギンス,Black Gravios GX Greaves
0x43d3e8@mhfdat-jp.bin,グラビデGFレギンス,Black Gravios G Leggings
0x43d3ec@mhfdat-jp.bin,グラビデGXレギンス,Black Gravios GF Leggings
0x43d3f0@mhfdat-jp.bin,ルナＧグリーヴ,Black Gravios GX Leggings
0x43d3f4@mhfdat-jp.bin,ルナGFグリーヴ,Lune G Greaves
0x43d3f8@mhfdat-jp.bin,ルナGXグリーヴ,Lune GF Greaves
0x43d3fc@mhfdat-jp.bin,ルナＧレギンス,Lune GX Greaves
0x43d400@mhfdat-jp.bin,ルナGFレギンス,Lune G Leggings
0x43d404@mhfdat-jp.bin,ルナGXレギンス,Lune GF Leggings
0x43d408@mhfdat-jp.bin,ストロマグリーヴ,Lune GX Leggings
0x43d40c@mhfdat-jp.bin,ストロマＦグリーヴ,Stroma Greaves
0x43d410@mhfdat-jp.bin,ストロマFXグリーヴ,Stroma F Greaves
0x43d414@mhfdat-jp.bin,ストロマＧグリーヴ,Stroma FX Greaves
0x43d418@mhfdat-jp.bin,ストロマレギンス,Stroma G Greaves
0x43d41c@mhfdat-jp.bin,ストロマＦレギンス,Stroma Leggings
0x43d420@mhfdat-jp.bin,ストロマFXレギンス,Stroma F Leggings
0x43d424@mhfdat-jp.bin,ストロマＧレギンス,Stroma FX Leggings
0x43d428@mhfdat-jp.bin,プランダＧグリーヴ,Stroma G Leggings
0x43d42c@mhfdat-jp.bin,プランダGFグリーヴ,Plunder G Greaves
0x43d430@mhfdat-jp.bin,プランダGXグリーヴ,Plunder GF Greaves
0x43d434@mhfdat-jp.bin,プランダＧレギンス,Plunder GX Greaves
0x43d438@mhfdat-jp.bin,プランダGFレギンス,Plunder G Leggings
0x43d43c@mhfdat-jp.bin,プランダGXレギンス,Plunder GF Leggings
0x43d440@mhfdat-jp.bin,アルテラグリーヴ,Plunder GX Leggings
0x43d444@mhfdat-jp.bin,アルテラＦグリーヴ,Altera Greaves
0x43d448@mhfdat-jp.bin,アルテラFXグリーヴ,Altera F Greaves
0x43d44c@mhfdat-jp.bin,アルテラＧグリーヴ,Altera FX Greaves
0x43d450@mhfdat-jp.bin,アルテラGFグリーヴ,Altera G Greaves
0x43d454@mhfdat-jp.bin,アルテラレギンス,Altera GF Greaves
0x43d458@mhfdat-jp.bin,アルテラＦレギンス,Altera Leggings
0x43d45c@mhfdat-jp.bin,アルテラFXレギンス,Altera F Leggings
0x43d460@mhfdat-jp.bin,アルテラＧレギンス,Altera FX Leggings
0x43d464@mhfdat-jp.bin,アルテラGFレギンス,Altera G Leggings
0x43d468@mhfdat-jp.bin,ドラゴンＧフット,Altera GF Leggings
0x43d46c@mhfdat-jp.bin,ドラゴンGFフット,Dragon G Feet
0x43d470@mhfdat-jp.bin,ドラゴンGXフット,Dragon GF Feet
0x43d474@mhfdat-jp.bin,ドラゴンＧレグス,Dragon GX Feet
0x43d478@mhfdat-jp.bin,ドラゴンGFレグス,Dragon G Legs
0x43d47c@mhfdat-jp.bin,ドラゴンGXレグス,Dragon GF Legs
0x43d480@mhfdat-jp.bin,イリークグリーヴ,Dragon GX Legs
0x43d484@mhfdat-jp.bin,イリークＦグリーヴ,Iriku Greaves
0x43d488@mhfdat-jp.bin,イリークFXグリーヴ,Iriku F Greaves
0x43d48c@mhfdat-jp.bin,イリークHCグリーヴ,Iriku FX Greaves
0x43d490@mhfdat-jp.bin,イリークレギンス,Iriku HC Greaves
0x43d494@mhfdat-jp.bin,イリークＦレギンス,Iriku Leggings
0x43d498@mhfdat-jp.bin,イリークFXレギンス,Iriku F Leggings
0x43d49c@mhfdat-jp.bin,イリークHCレギンス,Iriku FX Leggings
0x43d4a0@mhfdat-jp.bin,イリークＧグリーヴ,Iriku HC Leggings
0x43d4a4@mhfdat-jp.bin,イリークGFグリーヴ,Iriku G Greaves
0x43d4a8@mhfdat-jp.bin,イリークGXグリーヴ,Iriku GF Greaves
0x43d4ac@mhfdat-jp.bin,イリークＧレギンス,Iriku GX Greaves
0x43d4b0@mhfdat-jp.bin,イリークGFレギンス,Iriku G Leggings
0x43d4b4@mhfdat-jp.bin,イリークGXレギンス,Iriku GF Leggings
0x43d4b8@mhfdat-jp.bin,アフティＧグリーヴ,Iriku GX Leggings
0x43d4bc@mhfdat-jp.bin,アフティGFグリーヴ,Afti G Greaves
0x43d4c0@mhfdat-jp.bin,アフティGXグリーヴ,Afti GF Greaves
0x43d4c4@mhfdat-jp.bin,アフティＧレギンス,Afti GX Greaves
0x43d4c8@mhfdat-jp.bin,アフティGFレギンス,Afti G Leggings
0x43d4cc@mhfdat-jp.bin,アフティGXレギンス,Afti GF Leggings
0x43d4d0@mhfdat-jp.bin,セクティフット・黒,Afti GX Leggings
0x43d4d4@mhfdat-jp.bin,セクティＦフット・黒,Secuti Feet・Black
0x43d4d8@mhfdat-jp.bin,セクティFZフット・黒,Secuti F Feet・Black
0x43d4dc@mhfdat-jp.bin,セクティHSフット・黒,Secuti FZ Feet・Black
0x43d4e0@mhfdat-jp.bin,セクティGSフット・黒,Secuti HS Feet・Black
0x43d4e4@mhfdat-jp.bin,セクティGPフット・黒,Secuti GS Feet・Black
0x43d4e8@mhfdat-jp.bin,セクティブーツ・黒,Secuti GP Feet・Black
0x43d4ec@mhfdat-jp.bin,セクティＦブーツ・黒,Secuti Boots・Black
0x43d4f0@mhfdat-jp.bin,セクティFZブーツ・黒,Secuti F Boots・Black
0x43d4f4@mhfdat-jp.bin,セクティHSブーツ・黒,Secuti FZ Boots・Black
0x43d4f8@mhfdat-jp.bin,セクティGSブーツ・黒,Secuti HS Boots・Black
0x43d4fc@mhfdat-jp.bin,セクティGPブーツ・黒,Secuti GS Boots・Black
0x43d500@mhfdat-jp.bin,セクティフット・青,Secuti GP Boots・Black
0x43d504@mhfdat-jp.bin,セクティＦフット・青,Secuti Feet・Blue
0x43d508@mhfdat-jp.bin,セクティFZフット・青,Secuti F Feet・Blue
0x43d50c@mhfdat-jp.bin,セクティHSフット・青,Secuti FZ Feet・Blue
0x43d510@mhfdat-jp.bin,セクティGSフット・青,Secuti HS Feet・Blue
0x43d514@mhfdat-jp.bin,セクティGPフット・青,Secuti GS Feet・Blue
0x43d518@mhfdat-jp.bin,セクティブーツ・青,Secuti GP Feet・Blue
0x43d51c@mhfdat-jp.bin,セクティＦブーツ・青,Secuti Boots・Blue
0x43d520@mhfdat-jp.bin,セクティFZブーツ・青,Secuti F Boots・Blue
0x43d524@mhfdat-jp.bin,セクティHSブーツ・青,Secuti FZ Boots・Blue
0x43d528@mhfdat-jp.bin,セクティGSブーツ・青,Secuti HS Boots・Blue
0x43d52c@mhfdat-jp.bin,セクティGPブーツ・青,Secuti GS Boots・Blue
0x43d530@mhfdat-jp.bin,セクティフット・赤,Secuti GP Boots・Blue
0x43d534@mhfdat-jp.bin,セクティＦフット・赤,Secuti Feet・Red
0x43d538@mhfdat-jp.bin,セクティFZフット・赤,Secuti F Feet・Red
0x43d53c@mhfdat-jp.bin,セクティHSフット・赤,Secuti FZ Feet・Red
0x43d540@mhfdat-jp.bin,セクティGSフット・赤,Secuti HS Feet・Red
0x43d544@mhfdat-jp.bin,セクティGPフット・赤,Secuti GS Feet・Red
0x43d548@mhfdat-jp.bin,セクティブーツ・赤,Secuti GP Feet・Red
0x43d54c@mhfdat-jp.bin,セクティＦブーツ・赤,Secuti Boots・Red
0x43d550@mhfdat-jp.bin,セクティFZブーツ・赤,Secuti F Boots・Red
0x43d554@mhfdat-jp.bin,セクティHSブーツ・赤,Secuti FZ Boots・Red
